CI 10006 ,Pigment Green 8 
,Acid Green 1 
CI 10020 ,Ext. D&C Green No. 1 
,Naphthol Green B 
,Acid Yellow 1 
CI 10316 ,Ext. D&C Yellow No. 7 
,Naphthol Yellow S 
,Pigment Yellow 1 
CI 11680 ,Ext. D&C Yellow No. 5 
,Hansa Yellow G 
CI 11710 ,Pigment Yellow 3 
,Pigment Orange 1 
CI 11725 ,
,Hansa Yellow 3R 
,Food Orange 3 
CI 11920 ,
,
,Solvent Red 3 
CI 12010 ,
,
,Pigment Red 4 
,D&C Red No. 36 
CI 12085 ,Permanent Red 
,Pigment Red 3 
CI 12120 ,D&C Red No. 35 
,Toluidine Red 
,Pigment Red 112 
CI 12370 ,
,
,Pigment Red 7 
CI 12420 ,
,Pigment Brown 1 
CI 12480 ,
,Pigment Red 5 
CI 12490 ,
,
,Disperse Yellow 16 
CI 12700 ,
,Acid Yellow 9 
CI 13015 ,Food Yellow 2 
,Fast Yellow 
,Acid Orange 6 
CI 14270 ,
,
,Food Red 1 
CI 14700 ,FD&C Red No. 4 
,Ponceau SX 
,Acid Red 14 
CI 14720 ,Food Red 3 
,Azorubin 
,Food Red 2 
CI 14815 ,
,Acid Orange 7 
CI 15510 ,D&C Orange No. 4 
,Orange II 
,Pigment Red 68 
CI 15525 ,
,Pigment Red 51 
CI 15580 ,
,Acid Red 88 
CI 15620 ,Ext. D&C Red No. 8 
,Pigment Red 49 
,D&C Red No. 10 
,Lithol Red Na 
,Pigment Red 49:1 
,D&C Red No. 12 
,Lithol Red Ba 
CI 15630 ,
,Pigment Red 49:2 
,D&C Red No. 11 
,Lithol Red Ca 
,Pigment Red 49:3 
,D&C Red No. 13 
,Lithol Red Sr 
,Pigment Red 64 
,Pigment Red 64:1 
CI 15800 ,
,D&C Red No. 31 
,Brilliant Lake Red R 
,Pigment Red 57 
,D&C Red No. 6 
,Lithol Rubine B 
CI 15850 ,
,Pigment Red 57:1 
,D&C Red No. 7 
,Lithol Rubine B Ca 
,Pigment Red 48 
CI 15865 ,
,Permanent Red F5R 
,Pigment Red 63 
,Pigment Red 63:1 
CI 15880 ,
,D&C Red No. 34 
,Deep Maroon 
,Food Orange 2 
CI 15980 ,
,Food Yellow 3 
CI 15985 ,FD&C Yellow No. 6 
,Sunset Yellow FCF 
,Food Red 17 
CI 16035 ,FD&C Red No. 40 
,Allura Red Ac 
,Food Red 9 
CI 16185 ,
,Acid Red 27 
CI 16230 ,Acid Orange 10 
,Acid Red 18 
CI 16255 ,Food Red 7 
,New Coccine 
CI 16290 ,Food Red 8 
,Acid Red 33 
,D&C Red No. 33 
CI 17200 ,
,Fast Acid Magenta 
,Food Red 12 
,Acid Red 1 
CI 18050 ,Food Red 10 
,Fast Crimson 1 
CI 18130 ,Acid Red 155 
CI 18690 ,Acid Yellow 121 
CI 18736 ,Acid Red 180 
,Acid Yellow 11 
CI 18820 ,Ext. D&C Yellow No. 3 
,Fast Light Yellow 3G 
CI 18965 ,Food Yellow 5 
,Acid Yellow 23 
,FD&C Yellow No. 5 
CI 19140 ,
,Tartrazine 
,Food Yellow 4 
CI 20040 ,Pigment Yellow 16 
,Acid Black 1 
CI 20470 ,Solvent Brown 12 
,Naphthol Blue Black 
,Pigment Yellow 13 
CI 21100 ,
,
CI 21108 ,Pigment Yellow 83 
,Solvent Yellow 29 
CI 21230 ,
,
CI 24790 ,Acid Red 163 
,Solvent Red 23 
CI 26100 ,D&C Red No. 17 
,Sudan III 
,Food Black 2 
CI 27755 ,
,
CI 28440 ,Food Black 1 
CI 40215 ,Direct Orange 39 
,"beta, beta-Carotene "
CI 40800 ,
,Food Orange 5 
CI 40820 ,Food Orange 6 
CI 40825 ,Food Orange 7 
CI 40850 ,Food Orange 8 
,Acid Blue 1 
CI 42045 ,
,
,Food Blue 5 
CI 42051 ,
,
,Food Green 3 
CI 42053 ,FD&C Green No. 3 
,Fast Green FCF 
CI 42080 ,Acid Blue 7 
,Food Blue 2 
,FD&C Blue No. 1 
,Brilliant Blue FCF 
CI 42090 ,
,Acid Blue 9 
,D&C Blue No. 4 
,Alphazurine FG 
CI 42100 ,Acid Green 9 
CI 42170 ,Acid Green 22 
CI 42520 ,Basic Violet 2 
CI 42735 ,Acid Blue 104 
CI 44090 ,Food Green 4 
,Acid Red 52 
CI 45100 ,
,Acid Red 
,Acid Violet 9 
CI 45190 ,Ext. D&C Red No. 3 
,Violamine R 
CI 45220 ,Acid Red 50 
,Acid Yellow 73 
,D&C Yellow No. 8 
,Uranine 
CI 45350 ,D&C Yellow No. 9 
,Uranine K 
,D&C Yellow No. 7 
,Fluorescein 
,Acid Orange 11 
,Solvent Red 72 
CI 45370 ,
,D&C Orange No. 5 
,Dibromofluorescein 
,Acid Red 87 
,D&C Red No. 22 
,Eosine YS 
,Acid Red 87 
CI 45380 ,D&C Red No. 23 
,Eosine YSK 
,Solvent Red 43 
,D&C Red No. 21 
,Tetrabromo Fluorescein 
,Solvent Orange 16 
,
CI 45396 ,
,
,
CI 45405 ,Acid Red 98 
,Acid Red 92 
,D&C Red No. 28 
,Phloxine BK 
,Phloxine B 
CI 45410 ,
,Solvent Red 48 
,D&C Red No. 27 
,Tetrachloro
,Acid Red 51 
,FD&C Red No. 3 
CI 45430 ,
,Erythrosine 
,Food Red 14 
,Solvent Yellow 33 
CI 47000 ,D&C Yellow No. 11 
,Quinoline Yellow SS 
,Acid Yellow 3 
CI 47005 ,D&C Yellow No. 10 
,Quinoline Yellow WS 
CI 50325 ,Acid Violet 50 
,Acid Black 2 
CI 50420 ,
,
,Pigment Violet 23 
CI 51319 ,
,
,Pigment Red 83 
CI 58000 ,
,
,Solvent Green 7 
CI 59040 ,D&C Green No. 8 
,Pyranin Conc 
CI 60724 ,Disperse Violet 27 
,Solvent Violet 13 
CI 60725 ,D&C Violet No. 2 
,Alizarine Purple SS 
,Acid Violet 43 
CI 60730 ,Ext. D&C Violet No. 2 
,Alizarine Violet NR 
,Solvent Green 3 
CI 61565 ,D&C Green No. 6 
,Quinizarine Green SS 
,Acid Green 25 
,D&C Green No. 5 
CI 61570 ,
,Alizarine Cyanine
,Green 
CI 61585 ,Acid Blue 80 
CI 62045 ,Acid Blue 62 
CI 69800 ,Food Blue 4 
,Pigment Blue 64 
CI 69825 ,D&C Blue No. 9 
,Carbanthrene Blue 
CI 71105 ,Vat Orange 7 
,Pigment Blue 66 
CI 73000 ,D&C Blue No. 6 
,Indigo 
,Acid Blue 74 
CI 73015 ,FD&C Blue No. 2 
,Indigo Carmine 
,D&C Red No. 30 
CI 73360 ,Vat Red 1 
,Helindone Pink CN 
CI 73385 ,Vat Violet 2 
,Pigment Violet 19 
CI 73900 ,
,
CI 73915 ,Pigment Red 122 
CI 74100 ,Pigment Blue 16 
,Pigment Blue 15 
CI 74160 ,
,Phthalocyanine Blue 
,Direct Blue 86 
CI 74180 ,
,
,Pigment Green 7 
CI 74260 ,
,Phthalocyanine Green 
,Natural Yellow 6 
CI 75100 ,
,Crocetine 
,Natural Orange 4 
CI 75120 ,
,Annatto 
,Natural Yellow 27 
CI 75125 ,
,Lycopene 
,Natural Yellow 26 
CI 75130 ,
,Beta-Carotene 
CI 75135 ,Rubixanthin 
,Natural White 1 
CI 75170 ,
,Guanine 
,Natural Yellow 3 
CI 75300 ,
,Curcumin 
,Natural Red 4 
CI 75470 ,
,Carmine 
,Natural Green 3 
,Sodium Copper
CI 75810 ,Chlorophyllin 
,Chlorophyllin-Copper
,Complex 
,Aluminum Powder 
CI 77000 ,
,Pigment Metal 1 
CI 77002 ,Pigment White 
,Pigment White 19 
CI 77004 ,Kaolin 
,Bentonite 
,Pigment Blue 29 
CI 77007 ,
,Ultramarine Blue 
,Pigment Red 101 
,Pigment Red 102 
CI 77015 ,Aluminum silicate
,coloured with ferric
,oxide 
,Pigment White 20 
CI 77019 ,
,Mica 
CI 77120 ,Pigment White 21 
,Pigment White 14 
CI 77163 ,
,Bismuth Oxychloride 
,Pigment White 18 
CI 77220 ,
,Calcium Carbonate 
,Pigment White 25 
CI 77231 ,
,Calcium Sulfate 
,Pigment Black 6 
,Carbon Black 
,
,
,
CI 77266 ,
CI 77267 ,
,"Charcoal, bone "
,Food Black 3 
CI 77268:1 ,
,Coke Black 
,Pigment Green 17 
CI 77288 ,
,Chromium Oxide 
,Pigment Green 18 
CI 77289 ,
,Chromium Hydroxide 
,Pigment Blue 28 
CI 77346 ,
,Cobalt Aluminum Oxide 
,Pigment Metal 2 
CI 77400 ,Bronze Powder 
,Copper Powder 
,Pigment Metal 3 
CI 77480 ,
,Gold Leaf 
,Ferrous Oxide 
CI 77489 ,
,Iron Oxides 
,Pigment Red 101 
CI 77491 ,
,Red Iron Oxide 
,Pigment Yellow 11 
CI 77492 ,
,Yellow Iron Oxide 
,Pigment Black 11 
CI 77499 ,
,Black Iron Oxide 
,Pigment Blue 27 
CI 77510 ,
,Ferric Ferrocyanide 
,Pigment White 18 
CI 77713 ,
,Magnesium Carbonate 
,Pigment Violet 16 
CI 77742 ,
,Manganese Violet 
CI 77745 ,Manganese Phosphate 
CI 77820 ,Silver 
,Pigment White 6 
CI 77891(3) ,
,Titanium dioxide 
,Zinc oxide 
CI 77947(4) ,
,
Lactoflavin ,Riboflavin 
,
,
,
,
,Caramel 
,"Capsanthin,"
,
,capsorubin 
,Beetroot red 
,Anthocyanins 
,Aluminum stearate/ 
,Zinc stearate / 
,
,Magnesium stearate / 
,Calcium stearate 
,Bromothymol blue 
,Bromocresol green 
,Acid red 195 
